product_id,emoji,producto,marca,categoria,tier_declarado,funcion,puntos,banda_rubrica,zonas_por_defecto,irritante,justificacion,flags
"c74e3fdb-3665-438e-9cbb-574459d0e87f","🔆","Niacinamide 10% + Zinc 1% Serum","The Ordinary","✨ Serums AM","ok","aclarado","55","55-74 soporte solido","cara","","La niacinamida (vitamina B3) tiene evidencia clínica sólida al 10%: reduce la producción de sebo, minimiza la apariencia de los poros, frena la transferencia de melanina a la superficie (manchas), y refuerza la barrera cutánea. El zinc potencia el efecto seborreguladory añade acción antiinflamatoria",""
"c74e3fdb-3665-438e-9cbb-574459d0e87f","🔆","Niacinamide 10% + Zinc 1% Serum","The Ordinary","✨ Serums AM","ok","barrera","50","35-54 moderado","cara","","La niacinamida (vitamina B3) tiene evidencia clínica sólida al 10%: reduce la producción de sebo, minimiza la apariencia de los poros, frena la transferencia de melanina a la superficie (manchas), y refuerza la barrera cutánea. El zinc potencia el efecto seborreguladory añade acción antiinflamatoria",""
"fd5ac61c-3146-49ed-813f-d3b0c4e097aa","💧","Peptide + HA Serum","The Ordinary","✨ Serums AM","good","firmeza","55","55-74 soporte solido","cara + cuello","","Los péptidos señalizan a la piel para producir colágeno. El ácido hialurónico retiene humedad en la superficie. Juntos mejoran textura, firmeza y luminosidad sin irritar.",""
"fd5ac61c-3146-49ed-813f-d3b0c4e097aa","💧","Peptide + HA Serum","The Ordinary","✨ Serums AM","good","barrera","45","35-54 moderado","cara + cuello","","Los péptidos señalizan a la piel para producir colágeno. El ácido hialurónico retiene humedad en la superficie. Juntos mejoran textura, firmeza y luminosidad sin irritar.",""
"b06008de-44b8-4d11-b6a8-0de0dc543bed","✨","Suero Vitamina C 20%","Dr. Brenner · ácido L-ascórbico","✨ Serums AM","best","aclarado","85","75-89 OTC fuerte","cara","","El ácido L-ascórbico es antioxidante y ayuda a unificar el tono; combinado con ácido ferúlico potencia su estabilidad y protección frente a radicales libres.",""
"b06008de-44b8-4d11-b6a8-0de0dc543bed","✨","Suero Vitamina C 20%","Dr. Brenner · ácido L-ascórbico","✨ Serums AM","best","firmeza","60","55-74 soporte solido","cara","","El ácido L-ascórbico es antioxidante y ayuda a unificar el tono; combinado con ácido ferúlico potencia su estabilidad y protección frente a radicales libres.",""
"b06008de-44b8-4d11-b6a8-0de0dc543bed","✨","Suero Vitamina C 20%","Dr. Brenner · ácido L-ascórbico","✨ Serums AM","best","textura","20","15-34 adyuvante marginal","cara","","El ácido L-ascórbico es antioxidante y ayuda a unificar el tono; combinado con ácido ferúlico potencia su estabilidad y protección frente a radicales libres.",""
"d62e61a3-0715-44c3-95bb-a402ca0f73cc","🧴","Anthelios UV AIR Serum SPF 50+","La Roche-Posay","🌞 SPF Facial","ok","proteccion","null","variable (spfScoreOf)","cara + cuello + manos","","Filtros UVA/UVB fotoestables (tecnología Cell-Ox Shield) bloquean la radiación que dispara la producción de melanina. A diferencia de un SPF sin color, este sí lleva óxidos de hierro — importante porque también protege contra luz visible, otro detonante conocido de melasma que los filtros UV solos n","justificacion redactada contra MELASMA — reescribir a lentigos"
"d62e61a3-0715-44c3-95bb-a402ca0f73cc","🧴","Anthelios UV AIR Serum SPF 50+","La Roche-Posay","🌞 SPF Facial","ok","aclarado","25","15-34 adyuvante marginal","cara + cuello + manos","","Filtros UVA/UVB fotoestables (tecnología Cell-Ox Shield) bloquean la radiación que dispara la producción de melanina. A diferencia de un SPF sin color, este sí lleva óxidos de hierro — importante porque también protege contra luz visible, otro detonante conocido de melasma que los filtros UV solos n","justificacion redactada contra MELASMA — reescribir a lentigos"
"57ff2048-f0d3-42a6-a9e5-8e56fb8a564e","🌞","Anthelios UVMune 400 SPF50","La Roche-Posay","🌞 SPF Facial","best","proteccion","null","variable (spfScoreOf)","cara + cuello + manos","","Mejor protección UVA disponible. Sin tinte — ideal bajo maquillaje de color.",""
"27826422-4e8b-47a3-a6a0-27f436ce2b26","🌞","Black Rice Airyfit Sunscreen","Haruharu Wonder · SPF50+ PA++++","🌞 SPF Facial","good","proteccion","null","variable (spfScoreOf)","cara + cuello + manos","","Filtra la radiación UV que agrava el melasma; el arroz negro aporta antioxidantes adicionales.","justificacion redactada contra MELASMA — reescribir a lentigos"
"f4f4f34a-d243-41f3-9bb1-dc1ca966d035","🌞","Canmake Mermaid Skin Gel SPF50","Canmake","🌞 SPF Facial","ok","proteccion","null","variable (spfScoreOf)","cara + cuello + manos","","Gel ultraligero, cero residuo blanco. Ideal bajo maquillaje. Sin UVA 400nm.",""
"c495313f-4f9c-49a6-a672-13483a04f0f2","🌞","Eucerin Pigment Control Tintado SPF50","Eucerin","🌞 SPF Facial","best","proteccion","null","variable (spfScoreOf)","cara + cuello + manos","","Único con Thiamidol: protege Y despigmenta activamente. Protección + tratamiento en uno.",""
"c495313f-4f9c-49a6-a672-13483a04f0f2","🌞","Eucerin Pigment Control Tintado SPF50","Eucerin","🌞 SPF Facial","best","aclarado","75","75-89 OTC fuerte","cara + cuello + manos","","Único con Thiamidol: protege Y despigmenta activamente. Protección + tratamiento en uno.",""
"7daf598c-e5aa-402f-a26a-6662aa196be9","🌞","Hyalu-Cica Water-Fit Sun Serum","SKIN1004 · SPF50 PA++++","🌞 SPF Facial","good","proteccion","null","variable (spfScoreOf)","cara + cuello + manos","","Filtra la radiación UV, el principal desencadenante del melasma; su textura ligera facilita reaplicar sin sentir pesadez.","justificacion redactada contra MELASMA — reescribir a lentigos"
"3c1c8b13-bf04-4cf2-a154-5f0d0e2be2ec","🌞","Isdin Fusion Water Color SPF50","ISDIN","🌞 SPF Facial","good","proteccion","null","variable (spfScoreOf)","cara + cuello + manos","","Tintado protege vs luz visible. Sin filtro UVA 400nm.",""
"c998b392-f91e-4ea5-a2b4-9acb871bcc20","🌞","Isdin Fusion Water SPF50","ISDIN","🌞 SPF Facial","ok","proteccion","null","variable (spfScoreOf)","cara + cuello + manos","","Textura ultraligera, ideal para layering. Sin tinte ni UVA 400nm.",""
"4c775124-b388-45d0-941f-77cf67c48148","🌞","L'Oréal UV Defender SPF50 PA++++","L'Oréal Paris","🌞 SPF Facial","good","proteccion","null","variable (spfScoreOf)","cara + cuello + manos","","Protección UVA de onda larga — buena para melasma. Sin tinte.","justificacion redactada contra MELASMA — reescribir a lentigos"
"6d30d838-50c9-461c-a93a-7e32eba414f0","🌞","Nivea Sun Silky UV Stick SPF50","Nivea","🌞 SPF Facial","ok","proteccion","null","variable (spfScoreOf)","cara + cuello + manos","","Stick práctico para retoques durante el día. Sin especificación PA ni UVA 400nm.",""
"844e871d-3993-47ac-9fbc-d4fe3e7d6a82","🌞","Probio-Cica Glow Sun Ampoule","SKIN1004 · SPF50 PA++++","🌞 SPF Facial","good","proteccion","null","variable (spfScoreOf)","cara + cuello + manos","","Filtra la radiación UV que agrava el melasma; la aplicación generosa y la reaplicación son la parte más importante del efecto.","justificacion redactada contra MELASMA — reescribir a lentigos"
"2026eae7-7ae3-4596-b61f-8b3bb5cd2088","🌞","Tocobo Sun Stick Cotton Soft SPF50","Tocobo","🌞 SPF Facial","good","proteccion","null","variable (spfScoreOf)","cara + cuello + manos","","PA++++ en stick con acabado cotton ultraligero. Excelente para retoques sin residuo. Sin UVA 400nm.",""
"1b656610-fce5-45a6-b6e8-8ec33e209653","👁","Anti-Pigment Contorno de Ojos","Eucerin","👁️ Contorno Ojos","ok","aclarado","70","55-74 soporte solido","cara","","Thiamidol y Ácido Hialurónico",""
"1b656610-fce5-45a6-b6e8-8ec33e209653","👁","Anti-Pigment Contorno de Ojos","Eucerin","👁️ Contorno Ojos","ok","barrera","25","15-34 adyuvante marginal","cara","","Thiamidol y Ácido Hialurónico",""
"86d57790-31c4-4db8-888f-ffdd6a2465c5","👁️","Caffeine Eye Cream Stick","Genérico","👁️ Contorno Ojos","good","barrera","15","15-34 adyuvante marginal","cara","","Cafeína activa circulación y reduce puffiness. Ideal por la mañana. Desliza el stick con golpecitos suaves bajo el ojo — nunca frotar. Guardar en refrigerador para efecto extra.",""
"3b90cc0e-7170-4f62-9e99-c582510d6361","👁️","Ceramide Eye Cream Stick","Genérico","👁️ Contorno Ojos","good","barrera","55","55-74 soporte solido","cara","","Refuerza la barrera cutánea del contorno de ojos. La piel del contorno es 10x más delgada que el resto de la cara. Ideal PM para reparación nocturna.",""
"22b2bb98-8431-4d40-8ffe-08f02f3db40b","👁️","Cerave Eye Repair Cream","CeraVe","👁️ Contorno Ojos","ok","barrera","65","55-74 soporte solido","cara","","Fórmula dermatológica con ceramidas, niacinamide y ácido hialurónico. Nunca causa ardor — ideal cuando la piel está sensible o con activos fuertes.",""
"22b2bb98-8431-4d40-8ffe-08f02f3db40b","👁️","Cerave Eye Repair Cream","CeraVe","👁️ Contorno Ojos","ok","aclarado","15","15-34 adyuvante marginal","cara","","Fórmula dermatológica con ceramidas, niacinamide y ácido hialurónico. Nunca causa ardor — ideal cuando la piel está sensible o con activos fuertes.",""
"f95c263b-102e-46c9-bc24-485bf192cdc9","👁️","Tocobo Collagen Eye Gel Cream","Tocobo","👁️ Contorno Ojos","good","barrera","40","35-54 moderado","cara","","Colágeno marino + niacinamide. Ilumina ojeras y mejora firmeza. Compatible AM y PM. Textura gel ligera — se puede usar bajo maquillaje.",""
"f95c263b-102e-46c9-bc24-485bf192cdc9","👁️","Tocobo Collagen Eye Gel Cream","Tocobo","👁️ Contorno Ojos","good","firmeza","35","35-54 moderado","cara","","Colágeno marino + niacinamide. Ilumina ojeras y mejora firmeza. Compatible AM y PM. Textura gel ligera — se puede usar bajo maquillaje.",""
"f95c263b-102e-46c9-bc24-485bf192cdc9","👁️","Tocobo Collagen Eye Gel Cream","Tocobo","👁️ Contorno Ojos","good","aclarado","30","15-34 adyuvante marginal","cara","","Colágeno marino + niacinamide. Ilumina ojeras y mejora firmeza. Compatible AM y PM. Textura gel ligera — se puede usar bajo maquillaje.",""
"ecef5283-7bdd-460b-a9a8-ccb917942c4c","💊","Finacea Ácido Azelaico 15%","Galderma","💊 Activos","best","aclarado","90","90-100 estandar de oro","cara + cuello","","Inhibe la tirosinasa — la enzima que fabrica melanina. Bloquea la cascada interna de pigmentación mientras el SPF bloquea el detonante externo.",""
"ecef5283-7bdd-460b-a9a8-ccb917942c4c","💊","Finacea Ácido Azelaico 15%","Galderma","💊 Activos","best","textura","55","55-74 soporte solido","cara + cuello","","Inhibe la tirosinasa — la enzima que fabrica melanina. Bloquea la cascada interna de pigmentación mientras el SPF bloquea el detonante externo.",""
"ecef5283-7bdd-460b-a9a8-ccb917942c4c","💊","Finacea Ácido Azelaico 15%","Galderma","💊 Activos","best","barrera","10","0 no toca el eje","cara + cuello","","Inhibe la tirosinasa — la enzima que fabrica melanina. Bloquea la cascada interna de pigmentación mientras el SPF bloquea el detonante externo.",""
"70f8c5ee-c241-41d4-bfe4-2cf4d52a7577","🔬","Retin-A Tretinoína 0.025%","Janssen","💊 Activos","best","textura","95","90-100 estandar de oro","cara + cuello","si","Acelera renovación celular (turnover) y dispersa depósitos de melanina. Fotosensibilizante — el SPF del día siguiente es obligatorio.",""
"70f8c5ee-c241-41d4-bfe4-2cf4d52a7577","🔬","Retin-A Tretinoína 0.025%","Janssen","💊 Activos","best","firmeza","85","75-89 OTC fuerte","cara + cuello","si","Acelera renovación celular (turnover) y dispersa depósitos de melanina. Fotosensibilizante — el SPF del día siguiente es obligatorio.",""
"70f8c5ee-c241-41d4-bfe4-2cf4d52a7577","🔬","Retin-A Tretinoína 0.025%","Janssen","💊 Activos","best","aclarado","70","55-74 soporte solido","cara + cuello","si","Acelera renovación celular (turnover) y dispersa depósitos de melanina. Fotosensibilizante — el SPF del día siguiente es obligatorio.",""
"05f7037d-f73b-4ff8-9081-c64afb2c5cf2","🌙","Retinol Overnight Lotion","Gold Bond","💊 Activos","good","textura","40","35-54 moderado","cuerpo","si","El retinol acelera la renovación celular y estimula la producción de colágeno. Más suave que la tretinoína — produce los mismos beneficios con menos riesgo de irritación, ideal para acostumbrar la piel.",""
"05f7037d-f73b-4ff8-9081-c64afb2c5cf2","🌙","Retinol Overnight Lotion","Gold Bond","💊 Activos","good","firmeza","45","35-54 moderado","cuerpo","si","El retinol acelera la renovación celular y estimula la producción de colágeno. Más suave que la tretinoína — produce los mismos beneficios con menos riesgo de irritación, ideal para acostumbrar la piel.",""
"be7a694e-0211-4d3f-b9ed-0c2d83f05943","","Ollie Lip Hydrating Balm SPF50","","💋 Labios","","labial","60","55-74 soporte solido","labios","","","SIN justificacion — redactar"
"34b622c4-e4bf-4289-b8a6-923632995796","","PDRN Lip Serum","","💋 Labios","","labial","70","55-74 soporte solido","labios","","","SIN justificacion — redactar"
"4a9ab636-db1f-424f-bcfc-7abc237c673c","","345 Relief Cream Mist","","💦 Toners","","barrera","45","35-54 moderado","cara","","","SIN justificacion — redactar"
"900a4aab-bed0-402c-bcb9-a01806886918","","Black Rice Probiotics Barrier Essence","","💦 Toners","","barrera","70","55-74 soporte solido","cara","","","SIN justificacion — redactar"
"900a4aab-bed0-402c-bcb9-a01806886918","","Black Rice Probiotics Barrier Essence","","💦 Toners","","aclarado","15","15-34 adyuvante marginal","cara","","","SIN justificacion — redactar"
"20064300-8139-45ef-b803-4e4bf61d94bc","✨","Black Rice Probiotics NAD+ Serum Mist","Haruharu Wonder · ceramidas","💦 Toners","good","barrera","60","55-74 soporte solido","cara","","Las ceramidas y probióticos ayudan a mantener la barrera cutánea, útil en pieles sensibilizadas por tratamientos activos.",""
"20064300-8139-45ef-b803-4e4bf61d94bc","✨","Black Rice Probiotics NAD+ Serum Mist","Haruharu Wonder · ceramidas","💦 Toners","good","firmeza","30","15-34 adyuvante marginal","cara","","Las ceramidas y probióticos ayudan a mantener la barrera cutánea, útil en pieles sensibilizadas por tratamientos activos.",""
"b73336bc-ad0e-444b-b807-7956498daa5e","💦","Caudalie Beauty Elixir Bruma Facial","Caudalie · rosa y menta","💦 Toners","good","barrera","15","15-34 adyuvante marginal","cara","","Los extractos de romero y menta tonifican y refrescan la piel al instante, sin sustituir la hidratación de tu rutina.",""
"acbcd16d-c0b0-4fc8-8130-7b61e076f801","","Centella Toning Toner (viaje)","","💦 Toners","","barrera","35","35-54 moderado","cara","","","SIN justificacion — redactar"
"b3a581cd-c0fd-43e0-8c73-cf043bc7e5a4","💊","Kopher Curepair Derma Ampoule Mist","Kopher · 10 factores de crecimiento","💦 Toners","good","firmeza","55","55-74 soporte solido","cara","","Los factores de crecimiento y extractos vegetales ayudan a calmar y reforzar la barrera en pieles sensibles o irritadas.",""
"b3a581cd-c0fd-43e0-8c73-cf043bc7e5a4","💊","Kopher Curepair Derma Ampoule Mist","Kopher · 10 factores de crecimiento","💦 Toners","good","barrera","55","55-74 soporte solido","cara","","Los factores de crecimiento y extractos vegetales ayudan a calmar y reforzar la barrera en pieles sensibles o irritadas.",""
"feac892a-7a0c-4647-9035-c5278c23cd19","💦","Laneige Cream Skin Toner & Moisturizer","LANEIGE · cerapéptido","💦 Toners","good","barrera","70","55-74 soporte solido","cara","","Las ceramidas y péptidos refuerzan la barrera cutánea, clave para pieles sensibles o con melasma en tratamiento.","justificacion redactada contra MELASMA — reescribir a lentigos"
"feac892a-7a0c-4647-9035-c5278c23cd19","💦","Laneige Cream Skin Toner & Moisturizer","LANEIGE · cerapéptido","💦 Toners","good","firmeza","30","15-34 adyuvante marginal","cara","","Las ceramidas y péptidos refuerzan la barrera cutánea, clave para pieles sensibles o con melasma en tratamiento.","justificacion redactada contra MELASMA — reescribir a lentigos"
"aea54bb5-6e67-4345-8801-d64239f3081f","💦","Medicube PDRN Pink Niacinamide Toner","medicube · niacinamida 5%","💦 Toners","good","barrera","60","55-74 soporte solido","cara","","La niacinamida y el PDRN apoyan la barrera cutánea y ayudan a mejorar el tono parejo de la piel.",""
"aea54bb5-6e67-4345-8801-d64239f3081f","💦","Medicube PDRN Pink Niacinamide Toner","medicube · niacinamida 5%","💦 Toners","good","aclarado","45","35-54 moderado","cara","","La niacinamida y el PDRN apoyan la barrera cutánea y ayudan a mejorar el tono parejo de la piel.",""
"aea54bb5-6e67-4345-8801-d64239f3081f","💦","Medicube PDRN Pink Niacinamide Toner","medicube · niacinamida 5%","💦 Toners","good","firmeza","40","35-54 moderado","cara","","La niacinamida y el PDRN apoyan la barrera cutánea y ayudan a mejorar el tono parejo de la piel.",""
"83f81d90-df90-4b65-897c-029c479acb62","💦","Numbuzin Toner No.9 NAD+ PDRN","numbuzin · PDRN salmón+péptidos","💦 Toners","good","firmeza","65","55-74 soporte solido","cara","","El PDRN y los péptidos apoyan la firmeza de la piel, mientras la niacinamida ayuda a mantener la barrera.",""
"83f81d90-df90-4b65-897c-029c479acb62","💦","Numbuzin Toner No.9 NAD+ PDRN","numbuzin · PDRN salmón+péptidos","💦 Toners","good","barrera","45","35-54 moderado","cara","","El PDRN y los péptidos apoyan la firmeza de la piel, mientras la niacinamida ayuda a mantener la barrera.",""
"83f81d90-df90-4b65-897c-029c479acb62","💦","Numbuzin Toner No.9 NAD+ PDRN","numbuzin · PDRN salmón+péptidos","💦 Toners","good","aclarado","25","15-34 adyuvante marginal","cara","","El PDRN y los péptidos apoyan la firmeza de la piel, mientras la niacinamida ayuda a mantener la barrera.",""
"35c79583-7aac-405a-b3ba-33276d379984","","Skin Balancing Pore-Reducing Toner","","💦 Toners","","barrera","60","55-74 soporte solido","cara + cuello","","","SIN justificacion — redactar"
"35c79583-7aac-405a-b3ba-33276d379984","","Skin Balancing Pore-Reducing Toner","","💦 Toners","","textura","40","35-54 moderado","cara + cuello","","","SIN justificacion — redactar"
"35c79583-7aac-405a-b3ba-33276d379984","","Skin Balancing Pore-Reducing Toner","","💦 Toners","","aclarado","30","15-34 adyuvante marginal","cara + cuello","","","SIN justificacion — redactar"
"9c30b24f-9e2b-422c-8518-0536579cf894","💧","The Ordinary Saccharomyces Ferment 30% Milky Toner","The Ordinary","💦 Toners","good","aclarado","55","55-74 soporte solido","cara + cuello","","El NAG (N-acetilglucosamina) inhibe la producción de melanina de forma similar a la niacinamida, mientras el fermento fortalece la barrera — doble función: aclara y protege.",""
"9c30b24f-9e2b-422c-8518-0536579cf894","💧","The Ordinary Saccharomyces Ferment 30% Milky Toner","The Ordinary","💦 Toners","good","barrera","40","35-54 moderado","cara + cuello","","El NAG (N-acetilglucosamina) inhibe la producción de melanina de forma similar a la niacinamida, mientras el fermento fortalece la barrera — doble función: aclara y protege.",""
"9c30b24f-9e2b-422c-8518-0536579cf894","💧","The Ordinary Saccharomyces Ferment 30% Milky Toner","The Ordinary","💦 Toners","good","textura","35","35-54 moderado","cara + cuello","","El NAG (N-acetilglucosamina) inhibe la producción de melanina de forma similar a la niacinamida, mientras el fermento fortalece la barrera — doble función: aclara y protege.",""
"b71bc26f-a501-49eb-8461-c7485192ee48","💦","Ultramo Bruma Hidratante Niacinamida","ULTRAMO · colágeno+retinol","💦 Toners","ok","barrera","35","35-54 moderado","cara","","La niacinamida y el ácido hialurónico ayudan a mantener la barrera hidratada; úsalo como complemento, no como sustituto de tu rutina activa.",""
"b71bc26f-a501-49eb-8461-c7485192ee48","💦","Ultramo Bruma Hidratante Niacinamida","ULTRAMO · colágeno+retinol","💦 Toners","ok","firmeza","20","15-34 adyuvante marginal","cara","","La niacinamida y el ácido hialurónico ayudan a mantener la barrera hidratada; úsalo como complemento, no como sustituto de tu rutina activa.",""
"b71bc26f-a501-49eb-8461-c7485192ee48","💦","Ultramo Bruma Hidratante Niacinamida","ULTRAMO · colágeno+retinol","💦 Toners","ok","aclarado","20","15-34 adyuvante marginal","cara","","La niacinamida y el ácido hialurónico ayudan a mantener la barrera hidratada; úsalo como complemento, no como sustituto de tu rutina activa.",""
"bc6ce9fd-5335-456e-a111-367c21603699","","Centella Soothing Cream (viaje)","","💧 Hidratantes","","barrera","60","55-74 soporte solido","cara","","","SIN justificacion — redactar"
"ccea1f6a-4935-44ef-a70a-e332bc9b2b9c","🧴","Crema Hidratante Diaria","CeraVe","💧 Hidratantes","ok","barrera","70","55-74 soporte solido","cara + cuerpo","","Ingredientes activos: Contiene 3 ceramidas esenciales (1, 3 y 6-II) y ácido hialurónico.Tecnología MVE: Sistema de liberación controlada que mantiene la hidratación por 24 horas.",""
"f0797f0c-1ccc-42fa-b3c2-3ba82ecd419a","","Golden Peptide Honeycomb Neck Mask","Mercilen","💧 Hidratantes","ok","firmeza","60","55-74 soporte solido","cuello","","(agregado en esta sesión — ver alta-productos-manos-cuello.sql / alta-spf-manos-duplicados.sql para la justificación completa)",""
"f0797f0c-1ccc-42fa-b3c2-3ba82ecd419a","","Golden Peptide Honeycomb Neck Mask","Mercilen","💧 Hidratantes","ok","barrera","30","15-34 adyuvante marginal","cuello","","(agregado en esta sesión — ver alta-productos-manos-cuello.sql / alta-spf-manos-duplicados.sql para la justificación completa)",""
"17913609-6130-48bd-977e-45ee06379ff6","💧","Hyalu-Cica Moisture Cream","SKIN1004 · centella 50%+HA","💧 Hidratantes","good","barrera","80","75-89 OTC fuerte","cara","","La alta concentración de centella asiática junto con niacinamida y ácido hialurónico ayuda a calmar e hidratar la piel, reforzando su barrera.",""
"17913609-6130-48bd-977e-45ee06379ff6","💧","Hyalu-Cica Moisture Cream","SKIN1004 · centella 50%+HA","💧 Hidratantes","good","aclarado","20","15-34 adyuvante marginal","cara","","La alta concentración de centella asiática junto con niacinamida y ácido hialurónico ayuda a calmar e hidratar la piel, reforzando su barrera.",""
"17913609-6130-48bd-977e-45ee06379ff6","💧","Hyalu-Cica Moisture Cream","SKIN1004 · centella 50%+HA","💧 Hidratantes","good","firmeza","15","15-34 adyuvante marginal","cara","","La alta concentración de centella asiática junto con niacinamida y ácido hialurónico ayuda a calmar e hidratar la piel, reforzando su barrera.",""
"8a2eb58a-2c7e-47c7-8fe8-532d541e7803","💧","Hydro Boost Gel Cream","Neutrogena","💧 Hidratantes","good","barrera","60","55-74 soporte solido","cara","","Hyaluronic acid hydrates and plumps. Well-hydrated skin responds dramatically better to all treatment serums.",""
"dbe863ae-eb6d-42ad-9565-26cc6ed6e86f","","Madagascar Centella Poremizing Light Gel Cream","","💧 Hidratantes","","barrera","55","55-74 soporte solido","cara","","","SIN justificacion — redactar"
"dbe863ae-eb6d-42ad-9565-26cc6ed6e86f","","Madagascar Centella Poremizing Light Gel Cream","","💧 Hidratantes","","textura","45","35-54 moderado","cara","","","SIN justificacion — redactar"
"dbe863ae-eb6d-42ad-9565-26cc6ed6e86f","","Madagascar Centella Poremizing Light Gel Cream","","💧 Hidratantes","","aclarado","25","15-34 adyuvante marginal","cara","","","SIN justificacion — redactar"
"dbe863ae-eb6d-42ad-9565-26cc6ed6e86f","","Madagascar Centella Poremizing Light Gel Cream","","💧 Hidratantes","","firmeza","15","15-34 adyuvante marginal","cara","","","SIN justificacion — redactar"
"6b2ab52e-8479-4016-a8eb-2a61864491f7","✨","Neck and Chest Firming Cream","Gold Bond","💧 Hidratantes","good","firmeza","55","55-74 soporte solido","cuello","","Fórmula concentrada con péptidos y agentes reafirmantes diseñada específicamente para la piel más delgada del cuello y escote — zonas que envejecen más rápido.",""
"6b2ab52e-8479-4016-a8eb-2a61864491f7","✨","Neck and Chest Firming Cream","Gold Bond","💧 Hidratantes","good","barrera","40","35-54 moderado","cuello","","Fórmula concentrada con péptidos y agentes reafirmantes diseñada específicamente para la piel más delgada del cuello y escote — zonas que envejecen más rápido.",""
"a5953eaf-73e5-4ba9-80fa-9979641b62b8","☀️","Revitalift Laser Day Cream","L'Oréal Paris","💧 Hidratantes","good","firmeza","45","35-54 moderado","cara","","Pro-retinol + vitamin C daytime formula for brightening and anti-aging. Apply before Finacea and SPF.",""
